artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,type,duration,year,month,day_of_the_week
"Tyler, The Creator",SMUCKERS (feat. Lil Wayne & Kanye West),3v6SdZsS8zR6Go257tldbB,Cherry Bomb + Instrumentals,5V3Chnpno9oTI7JSPXKUf3,2015-04-13,48,True,0.427,0.849,G,-2.945,Major,0.348,0.015,0.00373,0.153,0.55,79.155,4,"Lil Wayne, Kanye West",Instrumental Album,05:34,2015,April,Monday
"Tyler, The Creator",Lone - Instrumental,7i6RKww9Z0sdTbEHFI95WT,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,42,False,0.399,0.769,C,-5.073,Major,0.039,0.369,0.491,0.154,0.404,78.702,1,,Instrumental Album,04:08,2013,April,Monday
"Tyler, The Creator",Parking Lot (feat. Casey Veggies & Mike G),1UBLglX9fPtTBZSwJj4yVG,Wolf,40QTqOBBxCEIQlLNdSjFQB,2013-04-01,51,True,0.548,0.511,B,-10.424,Major,0.274,0.0979,0.0,0.661,0.483,80.747,4,"Casey Veggies, Mike G",Studio Album,03:53,2013,April,Monday
"Tyler, The Creator","OKAGA, CA (feat. Alice Smith, Leon Ware & Clem Creevy)",2CnrJj6Jz4vSe5E1hsWtpg,Cherry Bomb,621OhgnZJ7Pz8iUazct1In,2015-04-13,53,True,0.458,0.64,D,-4.515,Major,0.0419,0.00196,0.0288,0.0782,0.205,145.94,4,"Alice Smith, Leon Ware, Clem Creevy",Studio Album,06:37,2015,April,Monday
"Tyler, The Creator",CHERRY BOMB,53Ij8FmAuvzXLsjzCTLM31,Cherry Bomb + Instrumentals,5V3Chnpno9oTI7JSPXKUf3,2015-04-13,46,True,0.594,0.817,D,-3.389,Major,0.0521,0.001,0.8,0.155,0.151,133.868,4,,Instrumental Album,04:29,2015,April,Monday
"Tyler, The Creator",Awkward,7mlvrrNPu1Kgb2GBOJnQFC,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,37,True,0.445,0.746,F,-9.086,Minor,0.296,0.267,0.0322,0.209,0.699,154.163,4,,Instrumental Album,03:47,2013,April,Monday
"Tyler, The Creator","FIND YOUR WINGS (feat. Roy Ayers, Sydney Bennett & Kali Uchis)",0mvnmLsfi9n5RjPIWzT6tY,Cherry Bomb + Instrumentals,5V3Chnpno9oTI7JSPXKUf3,2015-04-13,44,True,0.53,0.427,A,-7.338,Minor,0.0275,0.405,0.0832,0.0976,0.195,75.111,4,"Roy Ayers, Syd, Kali Uchis",Instrumental Album,02:59,2015,April,Monday
"Tyler, The Creator",THE BROWN STAINS OF DARKEESE LATIFAH PART 6-12 (REMIX) (feat. ScHoolboy Q),629TRAVD61y1ZVNl9EOfEE,Cherry Bomb,621OhgnZJ7Pz8iUazct1In,2015-04-13,50,True,0.63,0.842,C#/Db,-5.636,Minor,0.316,0.000967,0.0,0.362,0.634,84.952,4,ScHoolboy Q,Studio Album,03:11,2015,April,Monday
"Tyler, The Creator",Big Bag,1flloiRJOCenDSSjnuHGln,Music Inspired by Illumination & Dr. Seuss' The Grinch,05qQ4Sl7LjxDhZFB1ChVvH,2018-11-16,43,False,0.675,0.559,A#/Bb,-9.003,Minor,0.106,0.00608,9.73e-05,0.0843,0.668,117.845,4,,EP,01:25,2018,November,Friday
"Tyler, The Creator",Pigs,2XF5OHqf4GoKW4x8BQjloL,Wolf + Instrumentals,4jEKedq9rWPV9OXuMkrZCa,2013-04-01,34,True,0.345,0.717,C#/Db,-7.382,Minor,0.297,0.0297,0.00106,0.0834,0.451,84.411,4,,Instrumental Album,04:14,2013,April,Monday
